Time	Back_Left_Ankle_Extensor	Back_Left_Ankle_Flexor	Back_Left_Hip_Extensor	Back_Left_Hip_Flexor	Back_Left_Knee_Extensor	Back_Left_Knee_Flexor	
0	0.1814483	0.2206551	0.4172791	0.417273	0.2419794	0.2590551	
0.0006	0.1814483	0.2206551	0.4172791	0.417273	0.2419794	0.2590551	
0.0012	0.1814483	0.2206552	0.4172791	0.417273	0.2419794	0.2590551	
0.0018	0.1814483	0.2206552	0.417278	0.417274	0.241983	0.2590551	
0.0024	0.1814483	0.2206551	0.4172781	0.4172739	0.2419792	0.2590551	
0.003	0.1814483	0.2206552	0.4172783	0.4172738	0.2419791	0.2590553	
0.0036	0.1814483	0.2206552	0.4172783	0.4172736	0.2419792	0.2590553	
0.0042	0.1814483	0.2206552	0.4172785	0.4172736	0.2419794	0.2590553	
0.0048	0.1814483	0.2206552	0.4172785	0.4172735	0.2419794	0.2590554	
0.0054	0.1814483	0.2206552	0.4172786	0.4172734	0.2419795	0.2590554	
0.006	0.1814483	0.2206552	0.4172786	0.4172733	0.2419796	0.2590554	
0.0066	0.1814483	0.2206552	0.4172787	0.4172733	0.2419796	0.2590554	
0.0072	0.1814483	0.2206552	0.4172787	0.4172733	0.2419796	0.2590554	
0.0078	0.1814483	0.2206552	0.4172788	0.4172733	0.2419796	0.2590554	
0.0084	0.1814483	0.2206552	0.4172788	0.4172733	0.2419796	0.2590554	
0.009	0.1814484	0.2206552	0.4172788	0.4172732	0.2419796	0.2590554	
0.0096	0.1814484	0.2206552	0.4172788	0.4172732	0.2419796	0.2590554	
0.0102	0.1814484	0.2206552	0.4172788	0.4172732	0.2419797	0.2590554	
0.0108	0.1814484	0.2206552	0.4172788	0.4172732	0.2419796	0.2590553	
0.0114	0.1814484	0.2206552	0.4172788	0.4172732	0.2419796	0.2590553	
0.012	0.1814484	0.2206551	0.4172788	0.4172732	0.2419796	0.2590553	
0.0126	0.1814484	0.2206552	0.4172788	0.4172732	0.2419796	0.2590553	
0.0132	0.1814484	0.2206551	0.4172788	0.4172732	0.2419796	0.2590553	
0.0138	0.1814484	0.2206552	0.4172788	0.4172732	0.2419796	0.2590553	
0.0144	0.1814484	0.2206552	0.4172788	0.4172732	0.2419796	0.2590552	
0.015	0.1814484	0.2206551	0.4172788	0.4172732	0.2419796	0.2590552	
0.0156	0.1814485	0.2206551	0.4172788	0.4172732	0.2419796	0.2590552	
0.0162	0.1814485	0.2206551	0.4172788	0.4172732	0.2419796	0.2590551	
0.0168	0.1814485	0.2206551	0.4172787	0.4172732	0.2419795	0.2590551	
