Time	Back_Left_Ankle	Back_Left_Hip_Joint	Back_Left_Knee_Joint	
0.2118	0.127259	-0.1170756	-8.482455E-05	
0.2124	0.1273887	-0.1194985	0.002217138	
0.213	0.1279776	-0.1205493	0.001901454	
0.2136	0.1289836	-0.1215151	0.001356759	
0.2142	0.1300644	-0.1224711	0.0007706698	
0.2148	0.13116	-0.1234341	0.0001764181	
0.2154	0.1322599	-0.1244099	-0.0004202116	
0.216	0.1323994	-0.1260835	0.000311296	
0.2166	0.133215	-0.1272015	-0.0001288578	
0.2172	0.1333561	-0.1291855	0.00102766	
0.2178	0.1341134	-0.1303925	0.0006195586	
0.2184	0.1351647	-0.1315488	4.993757E-05	
0.219	0.1362717	-0.1327076	-0.0005504387	
0.2196	0.1364179	-0.1346735	0.0003738145	
0.2202	0.1372062	-0.1359871	-5.13213E-05	
0.2208	0.1373537	-0.1382933	0.001341295	
0.2214	0.1380611	-0.1397084	0.0009606354	
0.222	0.1391012	-0.1410677	0.0003972606	
0.2226	0.1402062	-0.1424308	-0.0002019807	
0.2232	0.1403589	-0.1447151	0.000924519	
0.2238	0.1411009	-0.1462512	0.0005248221	
0.2244	0.1421463	-0.1477433	-4.147726E-05	
0.225	0.1423021	-0.1502399	0.001258702	
0.2256	0.143008	-0.1519032	0.0008787372	
0.2262	0.1440459	-0.1535176	0.0003166338	
0.2268	0.1451486	-0.1551421	-0.000281294	
0.2274	0.1453087	-0.1578217	0.001079055	
0.228	0.1459949	-0.1596446	0.0007098972	
0.2286	0.1470277	-0.1614198	0.0001505731	
0.2292	0.1481284	-0.1632084	-0.0004462352	
0.2298	0.1482928	-0.1661281	0.001046636	
0.2304	0.1489472	-0.1681298	0.0006948804	
0.231	0.1499729	-0.1700819	0.000139467	
0.2316	0.1510715	-0.1720493	-0.0004561558	
0.2322	0.15124	-0.1752218	0.001166842	
0.2328	0.1518552	-0.1774177	0.0008365785	
0.2334	0.1528704	-0.1795606	0.0002869312	
0.234	0.1539659	-0.1817199	-0.0003070219	
0.2346	0.1541382	-0.1851571	0.001444943	
0.2352	0.1547083	-0.1875608	0.001139357	
0.2358	0.155701	-0.1899099	0.000602081	
0.2364	0.1567869	-0.1922751	1.339833E-05	
0.237	0.1578896	-0.1946759	-0.0005845834	
0.2376	0.1580656	-0.1984425	0.001314482	
0.2382	0.1585818	-0.2011133	0.001038286	
0.2388	0.1595467	-0.2037292	0.0005162163	
0.2394	0.1606114	-0.2063646	-6.087025E-05	
0.24	0.1607902	-0.2104493	0.002004816	
0.2406	0.1612454	-0.213363	0.001761973	
0.2412	0.1621847	-0.216216	0.001253942	
0.2418	0.163232	-0.2190881	0.0006864129	
0.2424	0.1643004	-0.2220009	0.0001071159	
0.243	0.1653702	-0.2249617	-0.0004729849	
0.2436	0.1655532	-0.2294765	0.001768465	
0.2442	0.1659269	-0.2327509	0.001570136	
0.2448	0.1668294	-0.2359615	0.001082204	
0.2454	0.1678503	-0.2391946	0.0005290009	
0.246	0.168895	-0.2424729	-3.738442E-05	
0.2466	0.1690813	-0.2473977	0.002379633	
0.2472	0.1693651	-0.2510099	0.002230575	
0.2478	0.1702327	-0.2545492	0.001761705	
0.2484	0.1712316	-0.2581104	0.00122054	
0.249	0.1722572	-0.2617184	0.0006645669	
0.2496	0.1732855	-0.2653814	0.0001070153	
0.2502	0.1743111	-0.2691032	-0.0004491295	
0.2508	0.1745019	-0.2745987	0.002195001	
0.2514	0.1746329	-0.2787035	0.002143249	
0.252	0.1754407	-0.2827215	0.001707025	
0.2526	0.176406	-0.2867607	0.001184058	
0.2532	0.1774042	-0.29085	0.0006428848	
0.2538	0.1784067	-0.2949983	9.930375E-05	
0.2544	0.1794068	-0.2992097	-0.000443104	
0.255	0.1796019	-0.3053171	0.002427611	
0.2556	0.1797355	-0.3101406	0.002790914	
0.2562	0.1804288	-0.3146822	0.00241716	
0.2568	0.1813486	-0.3192347	0.00191898	
0.2574	0.1823173	-0.3238376	0.001393802	
0.258	0.1832939	-0.3285025	0.0008641559	
0.2586	0.1842692	-0.333234	0.0003351815	
0.2592	0.185241	-0.3380348	-0.0001919954	
0.2598	0.1854409	-0.3448696	0.002932243	
0.2604	0.1855793	-0.350543	0.003763728	
0.261	0.1861313	-0.3557176	0.003467019	
0.2616	0.1869916	-0.3608913	0.003001188	
0.2622	0.1879253	-0.3661146	0.002494945	
0.2628	0.1888726	-0.371403	0.001981088	
0.2634	0.1898199	-0.3767619	0.001467139	
0.264	0.1907641	-0.3821944	0.0009547747	
0.2646	0.1917047	-0.3877024	0.0004443302	
0.2652	0.1926416	-0.3932878	-6.416101E-05	
0.2658	0.192847	-0.4010754	0.003368529	
0.2664	0.192991	-0.4078506	0.004769123	
0.267	0.1933262	-0.4138751	0.00459084	
0.2676	0.1940876	-0.4198813	0.004178782	
0.2682	0.1949599	-0.425935	0.003705717	
0.2688	0.1958574	-0.4320565	0.003218611	
0.2694	0.1967573	-0.438253	0.002730132	
0.27	0.1976533	-0.4445285	0.002243638	
0.2706	0.1985441	-0.4508852	0.001759975	
0.2712	0.1994291	-0.4573249	0.001279316	
0.2718	0.2003085	-0.4638492	0.000801666	
0.2724	0.2011823	-0.4704593	0.0003269888	
0.273	0.2020506	-0.4771563	-0.0001447567	
0.2736	0.2022624	-0.4862748	0.003702451	
0.2742	0.2024132	-0.4945651	0.005841735	
0.2748	0.2025651	-0.5020558	0.006330509	
0.2754	0.2030751	-0.5092546	0.006055306	
0.276	0.2038297	-0.5164796	0.005645925	
0.2766	0.2046461	-0.5237702	0.005202511	
0.2772	0.2054746	-0.5311393	0.004752235	
0.2778	0.2063021	-0.5385922	0.004302393	
0.2784	0.2071252	-0.5461317	0.003854891	
0.279	0.207943	-0.5537599	0.003410185	
0.2796	0.2087553	-0.5614784	0.002968354	
0.2802	0.2095622	-0.5692885	0.002529375	
0.2808	0.2103637	-0.5771913	0.00209321	
0.2814	0.21116	-0.5851879	0.00165982	
0.282	0.211951	-0.5932791	0.001229168	
0.2826	0.2127369	-0.6014658	0.0008012241	
0.2832	0.2135177	-0.6097486	0.0003759641	
0.2838	0.2142933	-0.6181282	-4.663719E-05	
0.2844	0.2145129	-0.6292148	0.004344181	
0.285	0.2146718	-0.639712	0.007450292	
0.2856	0.2148318	-0.6496488	0.009328702	
0.2862	0.2149924	-0.6590304	0.009994767	
0.2868	0.2153268	-0.6680716	0.009814882	
0.2874	0.2159405	-0.6771411	0.009481095	
0.288	0.2166386	-0.68628	0.009100879	
0.2886	0.217358	-0.6955034	0.008708751	
0.2892	0.2180787	-0.704818	0.008315717	
0.2898	0.2187946	-0.7142274	0.007925225	
0.2904	0.2195037	-0.7237339	0.007538305	
0.291	0.2202055	-0.7333393	0.007155225	
0.2916	0.2209	-0.7430449	0.006776017	
0.2922	0.2215873	-0.752852	0.006400646	
0.2928	0.2222673	-0.7627614	0.006029055	
